"seed","sample_size","p","q","rank","sigma","cov_scale","lambda_factor","lambda","lipschitz","iter","converged","hit_maxit","final_objective","final_rel_objective_change","final_step_frob","final_rel_step_frob","final_truth_frob","final_rank_truncated_truth_frob","rank_1e8","rank_1e4","minimax_rate_standard","ratio_standard","rank_truncated_ratio_standard","minimax_rate_covscale_adjusted","ratio_covscale_adjusted","rank_truncated_ratio_covscale_adjusted","scaledgd_reference_frob","ratio_to_scaledgd_reference","rank_truncated_ratio_to_scaledgd_reference","seed_best_full_frob","seed_best_rank_frob","full_within_5pct_seed_best","full_within_10pct_seed_best","rank_within_5pct_seed_best","rank_within_10pct_seed_best"
20260501,500,30,25,2,0.5,0.2,0.015,0.00248746859276655,5.48367713754426,932,TRUE,FALSE,0.0795213162096766,9.59746199943346e-09,0.00161148881542792,0.000193441468946147,6.26852588123618,4.98217755787222,15,15,0.234520787991171,26.7290841674648,21.2440764869841,1.17260393995586,5.34581683349295,4.24881529739682,3.91088544508124,1.60284057645313,1.27392572036043,4.6637680745743,4.40478453635807,FALSE,FALSE,FALSE,FALSE
20260501,500,30,25,2,0.5,0.2,0.02,0.0033166247903554,5.48367713754426,798,TRUE,FALSE,0.095421318267346,9.81409981653204e-09,0.00158632303841293,0.000211549375686724,5.57946008628114,4.65400444968083,14,14,0.234520787991171,23.7908977454535,19.844741651883,1.17260393995586,4.7581795490907,3.96894833037661,3.91088544508124,1.4266488151164,1.19001298172367,4.6637680745743,4.40478453635807,FALSE,FALSE,FALSE,TRUE
20260501,500,30,25,2,0.5,0.2,0.025,0.00414578098794425,5.48367713754426,507,TRUE,FALSE,0.108729149825629,9.58054245484956e-09,0.00272703358013742,0.000396049539485195,5.19724047642066,4.48974979870097,13,13,0.234520787991171,22.1611078529052,19.1443574668101,1.17260393995586,4.43222157058103,3.82887149336202,3.91088544508124,1.32891657129903,1.14801363060833,4.6637680745743,4.40478453635807,FALSE,FALSE,TRUE,TRUE
20260501,500,30,25,2,0.5,0.2,0.03,0.0049749371855331,5.48367713754426,442,TRUE,FALSE,0.120052526635521,6.89763879682094e-09,0.00303385301847193,0.000468282512584651,4.96485420311748,4.42104792939471,12,12,0.234520787991171,21.1702094541162,18.8514117117888,1.17260393995586,4.23404189082324,3.77028234235776,3.91088544508124,1.26949619794204,1.1304467981682,4.6637680745743,4.40478453635807,FALSE,TRUE,TRUE,TRUE
20260501,500,30,25,2,0.5,0.2,0.035,0.00580409338312195,5.48367713754426,401,TRUE,FALSE,0.129947272236663,6.86524048282039e-09,0.00315268880034509,0.000513096033718442,4.82189466544827,4.40478453635807,11,11,0.234520787991171,20.5606279372974,18.7820643708731,1.17260393995586,4.11212558745947,3.75641287417463,3.91088544508124,1.23294193429082,1.1262883043271,4.6637680745743,4.40478453635807,TRUE,TRUE,TRUE,TRUE
20260501,500,30,25,2,0.5,0.2,0.04,0.0066332495807108,5.48367713754426,361,TRUE,FALSE,0.138782098127076,6.60211914764492e-09,0.0034129724117991,0.000578941265253857,4.74679952220574,4.42330614602381,10,10,0.234520787991171,20.2404211706147,18.861040779849,1.17260393995586,4.04808423412294,3.7722081559698,3.91088544508124,1.21374036362426,1.13102421641806,4.6637680745743,4.40478453635807,TRUE,TRUE,TRUE,TRUE
20260501,500,30,25,2,0.5,0.2,0.045,0.00746240577829965,5.48367713754426,337,TRUE,FALSE,0.146794413875175,8.80845735934376e-09,0.00344537150776176,0.000605194175365517,4.71687471280246,4.46343550755795,9,9,0.234520787991171,20.112821354583,19.0321529523684,1.17260393995586,4.02256427091659,3.80643059047369,3.91088544508124,1.2060886924558,1.1412851565805,4.6637680745743,4.40478453635807,TRUE,TRUE,TRUE,TRUE
20260501,500,30,25,2,0.5,0.2,0.05,0.0082915619758885,5.48367713754426,479,TRUE,FALSE,0.15412170188266,5.66360777444063e-09,0.00187387853310513,0.000336175687840949,4.6637680745743,4.46892878538595,9,9,0.234520787991171,19.8863738883133,19.0555763677299,1.17260393995586,3.97727477766267,3.81111527354597,3.91088544508124,1.19250950713475,1.14268976888765,4.6637680745743,4.40478453635807,TRUE,TRUE,TRUE,TRUE
20260501,500,30,25,2,0.5,0.2,0.06,0.0099498743710662,5.48367713754426,298,TRUE,FALSE,0.167205322291544,8.36961281287366e-09,0.00333404432635205,0.000634635742500632,4.78058092824207,4.6499076361623,7,7,0.234520787991171,20.3844655699436,19.8272727803445,1.17260393995586,4.07689311398871,3.9654545560689,3.91088544508124,1.22237815332961,1.18896544055274,4.6637680745743,4.40478453635807,TRUE,TRUE,FALSE,TRUE
20260501,500,30,25,2,0.5,0.2,0.075,0.0124373429638327,5.48367713754426,143,TRUE,FALSE,0.184105853861888,8.72231237382361e-09,0.00971225822938916,0.00190563011405063,4.78182097083511,4.71310274259661,6,6,0.234520787991171,20.3897531293265,20.0967376195838,1.17260393995586,4.07795062586531,4.01934752391675,3.91088544508124,1.22269522796922,1.20512421260621,4.6637680745743,4.40478453635807,TRUE,TRUE,FALSE,TRUE
