"iter","lambda_factor","lambda","objective","rel_objective_change","step_frob","rel_step_frob","full_truth_frob","rank_truncated_truth_frob","rank_1e8","rank_1e4","converged"
1,0.04,0.0066332495807108,0.590633469270116,0.203737045822737,0.353604579607782,0.353604579607782,7.40983055200959,7.41192449234819,21,20,FALSE
2,0.04,0.0066332495807108,0.554070251519779,0.0229865763902945,0.0872248370645434,0.0644389346627488,7.38990020974261,7.39109704498449,21,20,FALSE
3,0.04,0.0066332495807108,0.526914799182063,0.0174737611193317,0.0811897634244665,0.0577461772026374,7.36615087941837,7.3647614731145,20,20,FALSE
4,0.04,0.0066332495807108,0.502233167867105,0.0161643801790248,0.0848291981395903,0.0584388928619089,7.33907799147333,7.33408251432163,20,20,FALSE
5,0.04,0.0066332495807108,0.479196326667656,0.0153350636187567,0.0889912567758952,0.0592941616596781,7.30922091020347,7.30075160723849,19,19,FALSE
6,0.04,0.0066332495807108,0.45745123859439,0.014700609838759,0.0928303845376602,0.0595705675734103,7.27703878263231,7.27057908145996,19,19,FALSE
7,0.04,0.0066332495807108,0.436753472831986,0.0142013435608078,0.096420556945071,0.0593730687623973,7.24294279895156,7.24773714593642,19,19,FALSE
8,0.04,0.0066332495807108,0.416974915740222,0.013766145317038,0.0997186683096712,0.0587787207878867,7.20731306220541,7.22127598654019,19,19,FALSE
9,0.04,0.0066332495807108,0.398050374393233,0.013355593763001,0.102687223575634,0.0578594904673682,7.17050473149819,7.19095490428816,19,19,FALSE
10,0.04,0.0066332495807108,0.379947471918571,0.0129486768189728,0.105313655645095,0.0566845537466727,7.13285072341611,7.15856013352304,19,19,FALSE
11,0.04,0.0066332495807108,0.362661156745395,0.0125267921605319,0.107584247336655,0.0553084545195205,7.09466285606393,7.12488318175813,19,19,FALSE
12,0.04,0.0066332495807108,0.346214801947888,0.012069291559457,0.109467761872562,0.0537668060733387,7.05623106279246,7.09027182755161,19,19,FALSE
13,0.04,0.0066332495807108,0.330656910128003,0.0115567677590338,0.110916512462113,0.0520805374643115,7.01782047707773,7.05485924179373,19,19,FALSE
14,0.04,0.0066332495807108,0.316050848786591,0.0109765794850959,0.11187848034514,0.0502640723830538,6.97966702929959,7.01862679110948,19,19,FALSE
15,0.04,0.0066332495807108,0.302460022348097,0.0103269766901673,0.112312517748201,0.0483330158442149,6.94197299868191,6.98140780968829,19,19,FALSE
16,0.04,0.0066332495807108,0.289932874922412,0.00961806674350005,0.11220063568744,0.0463088097162859,6.9049043951645,6.94286464887687,19,19,FALSE
17,0.04,0.0066332495807108,0.278492035857686,0.00886932900707309,0.111553626114904,0.0442195538588554,6.86859175265369,6.90245320277872,19,18,FALSE
18,0.04,0.0066332495807108,0.2681300300871,0.00810486532568339,0.110410386423897,0.0420981623377304,6.8331282005376,6.85940121023044,18,18,FALSE
19,0.04,0.0066332495807108,0.258809566582706,0.0073497695687829,0.108832381811325,0.039979167805545,6.79856701868513,6.81277959720365,18,18,FALSE
20,0.04,0.0066332495807108,0.250470816626077,0.00662431409642571,0.106890883047436,0.0378937522024344,6.76493356453562,6.76184515547278,18,18,FALSE
21,0.04,0.0066332495807108,0.243038698284497,0.00594345605092356,0.104661844577502,0.0358686002444065,6.73222758592872,6.70683607023594,18,18,FALSE
22,0.04,0.0066332495807108,0.236430182257377,0.00531642018566315,0.10221840490958,0.0339243161048514,6.70042824776455,6.64988799325981,18,18,FALSE
23,0.04,0.0066332495807108,0.230560142944997,0.00474757038174475,0.0996270156646363,0.0320754034506043,6.6694992044453,6.59469258303321,18,18,FALSE
24,0.04,0.0066332495807108,0.225345372987674,0.00423772051063123,0.0969459234849294,0.0303310122145607,6.63939333515943,6.54434465320675,18,18,FALSE
25,0.04,0.0066332495807108,0.220707007572433,0.00378535351541834,0.0942251337239744,0.0286959977341407,6.61005715741237,6.49969539928324,18,18,FALSE
26,0.04,0.0066332495807108,0.216571921065812,0.00338745209208268,0.0915067095930837,0.0271718673032988,6.58143507979987,6.45985421922333,18,18,FALSE
27,0.04,0.0066332495807108,0.212873449810984,0.0030400761276716,0.0888261806234899,0.0257578488415884,6.55347036359661,6.42345318578309,18,18,FALSE
28,0.04,0.0066332495807108,0.20955070397692,0.00273956514967121,0.0862182439956578,0.0244529688040719,6.52610210666036,6.38934974865057,18,18,FALSE
29,0.04,0.0066332495807108,0.206548437928797,0.00248213327333186,0.0837115495106794,0.0232547827986525,6.49927186379998,6.35676866241733,18,18,FALSE
30,0.04,0.0066332495807108,0.2038180165369,0.00226300188708915,0.0813269820514453,0.022159170018075,6.47292724660796,6.32523002918375,18,18,FALSE
31,0.04,0.0066332495807108,0.201317529064851,0.00207713079360837,0.0790803829295785,0.0211612913700623,6.44702113412197,6.29444986054516,18,18,FALSE
32,0.04,0.0066332495807108,0.199011489904152,0.00191959170236484,0.0769819218808703,0.0202555312967298,6.42151133454811,6.26426442841746,18,18,FALSE
33,0.04,0.0066332495807108,0.196870266480567,0.00178582394048295,0.0750363211845844,0.0194356342863026,6.3963607765133,6.23458102079917,18,18,FALSE
34,0.04,0.0066332495807108,0.194869335057477,0.00167180310107807,0.073243765762283,0.0186949773868562,6.37153760906286,6.20534773437813,18,18,FALSE
35,0.04,0.0066332495807108,0.192988903212601,0.00157375521297922,0.0715998706539167,0.0180265626435718,6.34701676445638,6.17653532058756,17,17,FALSE
36,0.04,0.0066332495807108,0.191213161069505,0.00148848169359701,0.0700980630645282,0.0174235968126813,6.32277700695675,6.14812647085459,17,17,FALSE
37,0.04,0.0066332495807108,0.189529041607456,0.00141378513694126,0.0687281345398196,0.0168790781914549,6.29879850502165,6.1201103015292,17,17,FALSE
38,0.04,0.0066332495807108,0.187926238582484,0.00134742656035198,0.0674794649773125,0.0163865468782957,6.27506703044205,6.09247895919524,17,17,FALSE
39,0.04,0.0066332495807108,0.186396543587321,0.00128770200158923,0.0663404307933764,0.0159398675024072,6.25157188995002,6.06522477857752,17,17,FALSE
40,0.04,0.0066332495807108,0.18493349393857,0.00123318772012568,0.0652989205322423,0.0155332878269883,6.22830570255232,6.0383400630253,17,17,FALSE
41,0.04,0.0066332495807108,0.183532089415439,0.00118268622694799,0.0643425527999049,0.0151614333475186,6.20526416069533,6.01181652105277,17,17,FALSE
42,0.04,0.0066332495807108,0.182188523042588,0.0011352175279966,0.0634589648169484,0.0148193202517508,6.18244562427738,5.98564513187601,17,17,FALSE
43,0.04,0.0066332495807108,0.180899880272353,0.00109004845260949,0.0626363214956732,0.0145024242803832,6.15985046593076,5.95981617175744,17,17,FALSE
44,0.04,0.0066332495807108,0.1796638045128,0.00104672358783567,0.0618640057471007,0.0142067927157057,6.13748028808439,5.93431933558751,17,17,FALSE
45,0.04,0.0066332495807108,0.178478188725364,0.0010050454908429,0.0611331901878216,0.0139291288560057,6.11533730284307,5.90914391781036,17,17,FALSE
46,0.04,0.0066332495807108,0.177340977847785,0.00096498254143192,0.0604369552210177,0.0136667746765901,6.09342405167949,5.88427901482461,17,17,FALSE
47,0.04,0.0066332495807108,0.176250122360288,0.000926541679956803,0.059769903666784,0.0134175853358076,6.07174333951114,5.85971370157627,17,17,FALSE
48,0.04,0.0066332495807108,0.175203647105958,0.000889670686902957,0.0591275282974548,0.0131797572446937,6.05029816313554,5.8354371372122,17,17,FALSE
49,0.04,0.0066332495807108,0.174199752689652,0.00085423017430067,0.0585056630134559,0.0129516842209059,6.02909160011956,5.81143857492643,17,17,FALSE
50,0.04,0.0066332495807108,0.173236875103325,0.000820028776297957,0.0579002105974307,0.0127318820464993,6.00812676766565,5.78770728710252,17,17,FALSE
51,0.04,0.0066332495807108,0.172313676989333,0.000786881262924892,0.0573071276403745,0.012518973526435,5.98740689611546,5.76423245175864,17,17,FALSE
52,0.04,0.0066332495807108,0.171428999908177,0.000754641951655902,0.0567224597547515,0.0123116861217741,5.9669354443352,5.74100306001126,17,17,FALSE
53,0.04,0.0066332495807108,0.170581850556835,0.000723176011016071,0.0561419826710254,0.0121087655660484,5.94671616407028,5.71800789345018,17,17,FALSE
54,0.04,0.0066332495807108,0.169771483002708,0.00069227756584615,0.055559255916085,0.0119085531746189,5.92675274083867,5.69523558583996,17,17,FALSE
55,0.04,0.0066332495807108,0.168997494655539,0.000661657732655331,0.0549593192965149,0.0117076510370544,5.90704296991612,5.67267469105755,16,16,FALSE
56,0.04,0.0066332495807108,0.168261162101705,0.000629883774088778,0.0543497083586135,0.0115075375595964,5.88758325706287,5.65031389880495,16,16,FALSE
57,0.04,0.0066332495807108,0.167560690370584,0.000599584882083756,0.0537410595688774,0.0113103341268159,5.86837358819251,5.62814389673356,16,15,FALSE
58,0.04,0.0066332495807108,0.166895301467452,0.000569896630316163,0.0531347532172667,0.0111161972114477,5.84941556429436,5.6061557341652,15,15,FALSE
