"seed","sample_size","p","q","rank","sigma","signal","design","cov_scale","full_lambda_factor","full_lambda","full_iter","full_converged","full_truth_frob","full_adjusted_minimax_ratio","full_standard_minimax_ratio","full_rank_1e4","full_final_rel_objective_change","rank_lambda_factor","rank_lambda","rank_iter","rank_converged","rank_factor_raw_truth_frob","rank_truncated_truth_frob","rank_adjusted_minimax_ratio","rank_standard_minimax_ratio","rank_factor_rank_1e4","rank_final_rel_objective_change","minimax_rate_standard","minimax_rate_covscale_adjusted","lipschitz"
20260527,300,30,25,2,0.5,"6,4.4","kronecker",0.2,0.04,0.00856348838577675,222,TRUE,4.95910252270698,3.27587531102827,16.3793765551413,9,1.32850380117565e-09,0.03,0.00642261628933256,261,TRUE,5.06522613230328,4.65391676224707,3.07427623268893,15.3713811634447,10,2.52638168319454e-09,0.302765035409749,1.51382517704875,5.49574760816994
20260527,400,30,25,2,0.5,"6,4.4","kronecker",0.2,0.04,0.00741619848709566,386,TRUE,4.84422174366983,3.69502736527939,18.4751368263969,10,9.15369559018129e-09,0.03,0.00556214886532175,613,TRUE,5.01604053277804,4.52773249133041,3.45361883567623,17.2680941783811,11,9.10968963549999e-09,0.262202212042538,1.31101106021269,5.51378619930772
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,0.04,0.0066332495807108,206,TRUE,4.40266219836246,3.75460293825057,18.7730146912528,11,7.24022752895552e-09,0.03,0.0049749371855331,620,TRUE,4.67276363239754,4.17818286386101,3.56316631855961,17.8158315927981,12,9.20684178054871e-09,0.234520787991171,1.17260393995586,5.23740060275473
20260527,700,30,25,2,0.5,"6,4.4","kronecker",0.2,0.04,0.00560611910581388,360,TRUE,4.0788034435459,4.11571644429361,20.578582221468,12,5.39412752552374e-09,0.03,0.00420458932936041,709,TRUE,4.27666588664569,3.62861419859246,3.66145300548269,18.3072650274135,13,9.54312157401748e-09,0.198206241793023,0.991031208965115,5.44517770622798
20260527,1000,30,25,2,0.5,"6,4.4","kronecker",0.2,0.04,0.00469041575982343,362,TRUE,3.47551230688075,4.19162555497671,20.9581277748836,12,5.23275920438587e-09,0.03,0.00351781181986757,816,TRUE,3.70785325570096,3.05606004702838,3.68574709555964,18.4287354777982,14,9.96513736769743e-09,0.16583123951777,0.82915619758885,5.28180367408194
20260527,1500,30,25,2,0.5,"6,4.4","kronecker",0.2,0.04,0.00382970843102535,221,TRUE,2.74749574630548,4.05832017446539,20.2916008723269,13,6.81834635055615e-09,0.03,0.00287228132326901,434,TRUE,3.12697289462358,2.48303986627686,3.6676929516137,18.3384647580685,16,6.85475878809634e-09,0.135400640077266,0.67700320038633,5.32377239313939
20260527,2000,30,25,2,0.5,"6,4.4","kronecker",0.2,0.04,0.0033166247903554,652,TRUE,2.40963471256547,4.10988677499443,20.5494338749721,13,8.59403235624864e-09,0.03,0.00248746859276655,887,TRUE,2.64869617201188,1.93497865621009,3.30031068509446,16.5015534254723,16,9.84860618585011e-09,0.117260393995586,0.586301969977929,5.23712800050107
