"seed","sample_size","p","q","rank","sigma","signal","design","cov_scale","nuclear_maxit","nuclear_tol","lambda_factor","lambda","lambda_over_default","lipschitz","iter","converged","hit_maxit","final_objective","final_rel_objective_change","final_step_frob","final_rel_step_frob","final_truth_frob","final_rank_truncated_truth_frob","rank_1e8","rank_1e4","minimax_rate_standard","ratio_standard","rank_truncated_ratio_standard","minimax_rate_covscale_adjusted","ratio_covscale_adjusted","rank_truncated_ratio_covscale_adjusted","scaledgd_reference_frob","ratio_to_scaledgd_reference","rank_truncated_ratio_to_scaledgd_reference"
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.026,0.00431161222746202,0.026,5.76836235979349,816,TRUE,FALSE,0.119939288033375,9.44390588310064e-09,0.00139849310797165,0.000188007041238624,4.91845850380231,3.90336004071879,12,12,0.234520787991171,20.9723775275199,16.6439831375022,1.17260393995586,4.19447550550399,3.32879662750044,3.91088544508124,1.25763297669286,0.998075779905056
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.028,0.00464327470649756,0.028,5.76836235979349,770,TRUE,FALSE,0.125053243304826,9.62081344755121e-09,0.00143434190227788,0.000197678832369626,4.79055421129064,3.89077917662924,12,12,0.234520787991171,20.426991791751,16.5903381527769,1.17260393995586,4.08539835835021,3.31806763055538,3.91088544508124,1.22492828761215,0.994858896090324
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.03,0.0049749371855331,0.03,5.76836235979349,737,TRUE,FALSE,0.129924842786705,9.70045605534918e-09,0.0014268254871758,0.00020117496954929,4.68773123499193,3.89209845805964,12,12,0.234520787991171,19.988553147657,16.5959635876976,1.17260393995586,3.9977106295314,3.31919271753953,3.91088544508124,1.19863680509685,0.995196231828976
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.032,0.00530659966456864,0.032,5.76836235979349,705,TRUE,FALSE,0.134572823448466,9.44318816063397e-09,0.0014354549597535,0.000206677320778009,4.60589291155589,3.9037810115318,12,12,0.234520787991171,19.6395933640189,16.6457781630802,1.17260393995586,3.92791867280378,3.32915563261604,3.91088544508124,1.17771102637352,0.998183420698663
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.034,0.00563826214360418,0.034,5.76836235979349,634,TRUE,FALSE,0.13901336651386,9.74064201197514e-09,0.00174082851324163,0.000255746337138422,4.5482591873528,3.92705238149126,12,12,0.234520787991171,19.3938423382921,16.7450076179988,1.17260393995586,3.87876846765841,3.34900152359977,3.91088544508124,1.1629742806896,1.00413383021238
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.036,0.00596992462263972,0.036,5.76836235979349,609,TRUE,FALSE,0.143258793931318,9.91739775251069e-09,0.00178216175566251,0.000266619203753813,4.50102417195024,3.95303296299153,12,12,0.234520787991171,19.1924315558742,16.8557891897427,1.17260393995586,3.83848631117484,3.37115783794854,3.91088544508124,1.15089644919445,1.01077697582866
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.038,0.00630158710167526,0.038,5.76836235979349,453,TRUE,FALSE,0.147333874126927,8.4363347143689e-09,0.0025821502014339,0.000394726859064039,4.51833195471015,4.01860826795321,11,11,0.234520787991171,19.266232189533,17.1354032296041,1.17260393995586,3.85324643790659,3.42708064592081,3.91088544508124,1.15532198990714,1.02754435648517
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.04,0.0066332495807108,0.04,5.76836235979349,427,TRUE,FALSE,0.151240597601054,8.09426376261392e-09,0.00278593934407401,0.000432501895876732,4.49393223304898,4.05389950969159,11,11,0.234520787991171,19.1621914267922,17.2858855899981,1.17260393995586,3.83243828535844,3.45717711799962,3.91088544508124,1.14908306473181,1.03656820600312
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.042,0.00696491205974634,0.042,5.76836235979349,411,TRUE,FALSE,0.155010008714302,7.69093788586455e-09,0.00286570906581609,0.00045150729871756,4.47462776751094,4.08769521874067,10,10,0.234520787991171,19.0798769091608,17.4299909775783,1.17260393995586,3.81597538183216,3.48599819551566,3.91088544508124,1.14414697907829,1.0452096529398
20260527,500,30,25,2,0.5,"6,4.4","kronecker",0.2,2000,1e-08,0.044,0.00729657453878188,0.044,5.76836235979349,401,TRUE,FALSE,0.158657950412548,7.47904833951516e-09,0.00282286799218416,0.00045120173025155,4.45962020624192,4.12193538528209,10,10,0.234520787991171,19.0158844528946,17.5759915382736,1.17260393995586,3.80317689057893,3.51519830765473,3.91088544508124,1.14030959711459,1.05396474613346
